phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
phase2,27672,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27672_-1.root,188164,188165,1,0,188165,1,0,0,OK
phase2,27673,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27673_-1.root,157654,157655,1,0,157655,1,0,0,OK
phase2,27674,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27674_-1.root,2163165,2163166,1,0,2163166,1,0,0,OK
phase2,27675,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27675_-1.root,708988,708989,1,0,708989,1,0,0,OK
phase2,27676,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27676_-1.root,1679587,1679588,1,0,,,,0,OK
phase2,27677,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27677_-1.root,1620932,1620933,1,0,,,,0,OK
phase2,27678,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27678_-1.root,52996,52997,1,0,52997,1,0,0,OK
phase2,27679,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27679_-1.root,52524,52525,1,0,52525,1,0,0,OK
phase2,27680,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27680_-1.root,923368,923369,1,0,,,,0,OK
phase2,27681,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27681_-1.root,237569,237570,1,0,237570,1,0,0,OK
phase2,27682,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27682_-1.root,216692,216693,1,0,216693,1,0,0,OK
phase2,27683,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27683_-1.root,234479,234480,1,0,234480,1,0,0,OK
phase2,27684,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27684_-1.root,240475,240476,1,0,240476,1,0,0,OK
phase2,27685,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27685_-1.root,131975,131976,1,0,131976,1,0,0,OK
phase2,27686,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27686_-1.root,303895,303896,1,0,303896,1,0,0,OK
phase2,27687,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27687_-1.root,221151,221152,1,0,221152,1,0,0,OK
phase2,27688,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27688_-1.root,235455,235456,1,0,235456,1,0,0,OK
phase2,27689,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27689_-1.root,230281,230282,1,0,230282,1,0,0,OK
phase2,27690,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27690_-1.root,231755,231756,1,0,231756,1,0,0,OK
phase2,27691,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27691_-1.root,168049,168050,1,0,168050,1,0,0,OK
phase2,27692,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27692_-1.root,165037,165038,1,0,165038,1,0,0,OK
phase2,27693,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27693_-1.root,178895,178896,1,0,178896,1,0,0,OK
phase2,27694,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27694_-1.root,187553,187554,1,0,187554,1,0,0,OK
phase2,27695,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27695_-1.root,186840,186841,1,0,186841,1,0,0,OK
phase2,27696,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27696_-1.root,188960,188961,1,0,188961,1,0,0,OK
phase2,27697,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27697_-1.root,198039,198040,1,0,198040,1,0,0,OK
phase2,27698,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27698_-1.root,186605,186606,1,0,186606,1,0,0,OK
phase2,27699,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27699_-1.root,55315,55316,1,0,55316,1,0,0,OK
phase2,27700,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27700_-1.root,54165,54166,1,0,54166,1,0,0,OK
phase2,27701,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27701_-1.root,54027,54028,1,0,54028,1,0,0,OK
phase2,27702,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27702_-1.root,54314,54315,1,0,54315,1,0,0,OK
phase2,27703,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27703_-1.root,183981,183982,1,0,183982,1,0,0,OK
phase2,27704,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27704_-1.root,179119,179120,1,0,179120,1,0,0,OK
phase2,27705,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27705_-1.root,168226,168227,1,0,168227,1,0,0,OK
phase2,27706,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27706_-1.root,177218,177219,1,0,177219,1,0,0,OK
phase2,27707,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27707_-1.root,185434,185435,1,0,185435,1,0,0,OK
phase2,27708,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27708_-1.root,192803,192804,1,0,192804,1,0,0,OK
phase2,27709,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27709_-1.root,197662,197663,1,0,197663,1,0,0,OK
phase2,27710,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27710_-1.root,196925,196926,1,0,196926,1,0,0,OK
phase2,27711,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27711_-1.root,190231,190232,1,0,190232,1,0,0,OK
phase2,27712,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27712_-1.root,180597,180598,1,0,180598,1,0,0,OK
phase2,27713,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27713_-1.root,2913833,2913834,1,0,2913834,1,0,0,OK
phase2,27714,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27714_-1.root,54052,54053,1,0,54053,1,0,0,OK
phase2,27715,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27715_-1.root,41025,41026,1,0,41026,1,0,0,OK
phase2,27716,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27716_-1.root,55668,55669,1,0,55669,1,0,0,OK
phase2,27717,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27717_-1.root,80575,80576,1,0,80576,1,0,0,OK
phase2,27718,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27718_-1.root,195945,195946,1,0,195946,1,0,0,OK
phase2,27719,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27719_-1.root,189910,189911,1,0,189911,1,0,0,OK
phase2,27720,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27720_-1.root,173322,173323,1,0,173323,1,0,0,OK
phase2,27721,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27721_-1.root,187058,187059,1,0,187059,1,0,0,OK
phase2,27722,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27722_-1.root,188501,188502,1,0,188502,1,0,0,OK
phase2,27723,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27723_-1.root,195610,195611,1,0,195611,1,0,0,OK
phase2,27724,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27724_-1.root,154781,154782,1,0,154782,1,0,0,OK
phase2,27725,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27725_-1.root,184285,184286,1,0,184286,1,0,0,OK
phase2,27726,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27726_-1.root,175710,175711,1,0,175711,1,0,0,OK
phase2,27727,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27727_-1.root,103427,103428,1,0,103428,1,0,0,OK
phase2,27728,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27728_-1.root,190803,190804,1,0,190804,1,0,0,OK
phase2,27730,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27730_-1.root,55354,55355,1,0,55355,1,0,0,OK
phase2,27731,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27731_-1.root,60465,60466,1,0,60466,1,0,0,OK
phase2,27732,PI-SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27732_-1.root,54920,54921,1,0,54921,1,0,0,OK
phase2,27733,HMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27733_-1.root,49501,49502,1,0,49502,1,0,0,OK
phase2,27734,HMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27734_-1.root,53070,53071,1,0,53071,1,0,0,OK
phase2,27735,HMSHEE,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27735_-1.root,,,,,,,,0,MISSING_FILE
phase2,27736,HMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27736_-1.root,18955,18956,1,0,18956,1,0,0,OK
phase2,27737,HMSHEE,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27737_-1.root,,,,,,,,0,MISSING_FILE
phase2,27738,HMSHEE,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27738_-1.root,,,,,,,,0,MISSING_FILE
phase2,27739,HMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27739_-1.root,35627,35628,1,0,35628,1,0,0,OK
phase2,27740,HMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27740_-1.root,33647,33648,1,0,33648,1,0,0,OK
phase2,27741,HMSHEE,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27741_-1.root,,,,,,,,0,MISSING_FILE
phase2,27742,HMSHEEP,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27742_-1.root,19601,19602,1,0,19602,1,0,0,OK
phase2,27743,HMSHEE,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27743_-1.root,,,,,,,,0,MISSING_FILE
phase2,27744,HMSHEE,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27744_-1.root,,,,,,,,0,MISSING_FILE
phase2,27745,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27745_-1.root,117293,117294,1,0,117294,1,0,0,OK
phase2,27746,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27746_-1.root,111343,111344,1,0,111344,1,0,0,OK
phase2,27747,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27747_-1.root,158171,158172,1,0,158172,1,0,0,OK
phase2,27748,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27748_-1.root,154124,154125,1,0,154125,1,0,0,OK
